,Name2,Name1,ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length,Name_Og,Name_Og2,Name_corr
99,Location 10,Location 36,1834,Location 36 - Location 10,36,10,14,18951.10582,SACD.2,GEO.d,SACD.2-GEO.d
100,Location 10,Location 18,925,Location 18 - Location 10,18,10,41,51084.88754,MAL.11b,GEO.d,MAL.11b-GEO.d
101,Location 10,Location 24,1237,Location 24 - Location 10,24,10,41,51099.03128,MAL.18,GEO.d,MAL.18-GEO.d
102,Location 10,Location 10,469,Location 10 - Location 10,10,10,1,0,GEO.d,GEO.d,GEO.d-GEO.d
103,Location 10,Location 3,121,Location 3 - Location 10,3,10,17,86232.14321,Verona,GEO.d,Verona-GEO.d
104,Location 10,Location 30,1549,Location 30 - Location 10,30,10,41,51114.99694,MAL.7b,GEO.d,MAL.7b-GEO.d
105,Location 11,Location 44,2245,Location 44 - Location 11,44,11,9,13879.19083,SBE.u,GEO.u,SBE.u-GEO.u
106,Location 11,Location 51,2609,Location 51 - Location 11,51,11,9,11175.08663,STMU.1,GEO.u,STMU.1-GEO.u
107,Location 11,Location 4,178,Location 4 - Location 11,4,11,22,80576.00906,Yolo Bypass @ I5,GEO.u,Yolo Bypass @ I5-GEO.u
108,Location 11,Location 8,385,Location 8 - Location 11,8,11,21,26161.58476,CCH.1,GEO.u,CCH.1-GEO.u
109,Location 11,Location 38,1937,Location 38 - Location 11,38,11,13,18951.13188,SACD.4,GEO.u,SACD.4-GEO.u
110,Location 11,Location 31,1600,Location 31 - Location 11,31,11,40,50943.37175,MAL.8a,GEO.u,MAL.8a-GEO.u
111,Location 11,Location 50,2569,Location 50 - Location 11,50,11,21,23566.56262,STMD.4,GEO.u,STMD.4-GEO.u
112,Location 11,Location 39,1985,Location 39 - Location 11,39,11,9,9657.212747,SACU.1,GEO.u,SACU.1-GEO.u
113,Location 11,Location 52,2661,Location 52 - Location 11,52,11,9,11290.57141,STMU.2,GEO.u,STMU.2-GEO.u
114,Location 11,Location 32,1652,Location 32 - Location 11,32,11,40,51017.17451,MAL.8b,GEO.u,MAL.8b-GEO.u
115,Location 11,Location 34,1722,Location 34 - Location 11,34,11,6,22068.30167,MOK.u,GEO.u,MOK.u-GEO.u
116,Location 11,Location 9,437,Location 9 - Location 11,9,11,21,26174.78627,CCH.2,GEO.u,CCH.2-GEO.u
117,Location 11,Location 27,1392,Location 27 - Location 11,27,11,40,50704.06828,MAL.5,GEO.u,MAL.5-GEO.u
118,Location 11,Location 7,324,Location 7 - Location 11,7,11,12,31713.67818,BF.4,GEO.u,BF.4-GEO.u
119,Location 11,Location 26,1340,Location 26 - Location 11,26,11,40,50729.4967,MAL.4,GEO.u,MAL.4-GEO.u
120,Location 11,Location 45,2291,Location 45 - Location 11,45,11,3,1565.22886,SBGD.2,GEO.u,SBGD.2-GEO.u
121,Location 11,Location 19,976,Location 19 - Location 11,19,11,40,50836.00535,MAL.12a,GEO.u,MAL.12a-GEO.u
122,Location 11,Location 47,2413,Location 47 - Location 11,47,11,21,23656.07032,STMD.1,GEO.u,STMD.1-GEO.u
123,Location 11,Location 46,2343,Location 46 - Location 11,46,11,3,1467.260854,SBGU.2,GEO.u,SBGU.2-GEO.u
124,Location 11,Location 25,1288,Location 25 - Location 11,25,11,40,50749.53527,MAL.2,GEO.u,MAL.2-GEO.u
125,Location 11,Location 6,272,Location 6 - Location 11,6,11,12,31811.60295,BF.2,GEO.u,BF.2-GEO.u
126,Location 11,Location 21,1080,Location 21 - Location 11,21,11,40,51094.66708,MAL.13,GEO.u,MAL.13-GEO.u
127,Location 11,Location 20,1028,Location 20 - Location 11,20,11,40,50943.37175,MAL.12b,GEO.u,MAL.12b-GEO.u
128,Location 11,Location 16,820,Location 16 - Location 11,16,11,40,50943.37175,MAL.10b,GEO.u,MAL.10b-GEO.u
129,Location 11,Location 33,1670,Location 33 - Location 11,33,11,6,22172.17116,MOK.d,GEO.u,MOK.d-GEO.u
130,Location 11,Location 13,629,Location 13 - Location 11,13,11,5,27317.11468,LPS.u,GEO.u,LPS.u-GEO.u
131,Location 11,Location 49,2517,Location 49 - Location 11,49,11,21,23557.43924,STMD.3,GEO.u,STMD.3-GEO.u
132,Location 11,Location 14,716,Location 14 - Location 11,14,11,40,50782.02821,MAL.1,GEO.u,MAL.1-GEO.u
133,Location 11,Location 2,67,Location 2 - Location 11,2,11,15,91415.55796,Yolo Bypass @ Fremont Weir,GEO.u,Yolo Bypass @ Fremont Weir-GEO.u
134,Location 11,Location 35,1781,Location 35 - Location 11,35,11,13,18839.54557,SACD.1,GEO.u,SACD.1-GEO.u
135,Location 11,Location 29,1496,Location 29 - Location 11,29,11,40,50943.37175,MAL.7a,GEO.u,MAL.7a-GEO.u
136,Location 11,Location 40,2037,Location 40 - Location 11,40,11,9,9663.027981,SACU.2,GEO.u,SACU.2-GEO.u
137,Location 11,Location 10,470,Location 10 - Location 11,10,11,2,81.85676944,GEO.d,GEO.u,GEO.d-GEO.u
138,Location 11,Location 28,1444,Location 28 - Location 11,28,11,40,50659.26816,MAL.6,GEO.u,MAL.6-GEO.u
139,Location 11,Location 3,119,Location 3 - Location 11,3,11,15,86150.28644,Verona,GEO.u,Verona-GEO.u
140,Location 11,Location 15,768,Location 15 - Location 11,15,11,40,50859.70989,MAL.10a,GEO.u,MAL.10a-GEO.u
141,Location 11,Location 48,2465,Location 48 - Location 11,48,11,21,23663.21253,STMD.2,GEO.u,STMD.2-GEO.u
142,Location 11,Location 41,2089,Location 41 - Location 11,41,11,9,9543.398015,SACU.3,GEO.u,SACU.3-GEO.u
143,Location 11,Location 1,15,Location 1 - Location 11,1,11,15,149828.4834,Tisdale Weir,GEO.u,Tisdale Weir-GEO.u
144,Location 11,Location 5,220,Location 5 - Location 11,5,11,12,31794.59615,BF.1,GEO.u,BF.1-GEO.u
145,Location 11,Location 22,1132,Location 22 - Location 11,22,11,40,51074.8167,MAL.14,GEO.u,MAL.14-GEO.u
146,Location 11,Location 11,521,Location 11 - Location 11,11,11,1,0,GEO.u,GEO.u,GEO.u-GEO.u
147,Location 11,Location 36,1833,Location 36 - Location 11,36,11,13,18869.24905,SACD.2,GEO.u,SACD.2-GEO.u
148,Location 11,Location 23,1184,Location 23 - Location 11,23,11,40,51054.82257,MAL.17,GEO.u,MAL.17-GEO.u
149,Location 11,Location 12,577,Location 12 - Location 11,12,11,5,27402.72523,LPS.d,GEO.u,LPS.d-GEO.u
150,Location 11,Location 42,2141,Location 42 - Location 11,42,11,9,9561.418898,SACU.4,GEO.u,SACU.4-GEO.u
151,Location 11,Location 43,2193,Location 43 - Location 11,43,11,9,13977.86731,SBE.d,GEO.u,SBE.d-GEO.u
152,Location 11,Location 30,1548,Location 30 - Location 11,30,11,40,51033.14017,MAL.7b,GEO.u,MAL.7b-GEO.u
153,Location 11,Location 24,1236,Location 24 - Location 11,24,11,40,51017.17451,MAL.18,GEO.u,MAL.18-GEO.u
154,Location 11,Location 17,872,Location 17 - Location 11,17,11,40,50914.79417,MAL.11a,GEO.u,MAL.11a-GEO.u
155,Location 11,Location 18,924,Location 18 - Location 11,18,11,40,51003.03077,MAL.11b,GEO.u,MAL.11b-GEO.u
156,Location 11,Location 37,1885,Location 37 - Location 11,37,11,13,18951.13188,SACD.3,GEO.u,SACD.3-GEO.u
157,Location 12,Location 44,2265,Location 44 - Location 12,44,12,29,37953.54877,SBE.u,LPS.d,SBE.u-LPS.d
158,Location 12,Location 38,1972,Location 38 - Location 12,38,12,48,44961.86386,SACD.4,LPS.d,SACD.4-LPS.d
159,Location 12,Location 33,1668,Location 33 - Location 12,33,12,4,14623.29056,MOK.d,LPS.d,MOK.d-LPS.d
160,Location 12,Location 6,290,Location 6 - Location 12,6,12,30,55885.96089,BF.2,LPS.d,BF.2-LPS.d
161,Location 12,Location 52,2681,Location 52 - Location 12,52,12,29,35364.92935,STMU.2,LPS.d,STMU.2-LPS.d
162,Location 12,Location 45,2314,Location 45 - Location 12,45,12,26,27575.96084,SBGD.2,LPS.d,SBGD.2-LPS.d
163,Location 12,Location 50,2596,Location 50 - Location 12,50,12,48,47331.05084,STMD.4,LPS.d,STMD.4-LPS.d
164,Location 12,Location 31,1605,Location 31 - Location 12,31,12,45,58071.43099,MAL.8a,LPS.d,MAL.8a-LPS.d
165,Location 12,Location 34,1720,Location 34 - Location 12,34,12,4,14519.42107,MOK.u,LPS.d,MOK.u-LPS.d
166,Location 12,Location 27,1397,Location 27 - Location 12,27,12,45,57832.12752,MAL.5,LPS.d,MAL.5-LPS.d
167,Location 12,Location 51,2629,Location 51 - Location 12,51,12,29,35249.44457,STMU.1,LPS.d,STMU.1-LPS.d
168,Location 12,Location 4,205,Location 4 - Location 12,4,12,49,104340.4973,Yolo Bypass @ I5,LPS.d,Yolo Bypass @ I5-LPS.d
169,Location 12,Location 32,1657,Location 32 - Location 12,32,12,45,58145.23375,MAL.8b,LPS.d,MAL.8b-LPS.d
170,Location 12,Location 25,1293,Location 25 - Location 12,25,12,45,57877.59451,MAL.2,LPS.d,MAL.2-LPS.d
171,Location 12,Location 46,2366,Location 46 - Location 12,46,12,26,27477.99284,SBGU.2,LPS.d,SBGU.2-LPS.d
172,Location 12,Location 39,2005,Location 39 - Location 12,39,12,29,33731.57069,SACU.1,LPS.d,SACU.1-LPS.d
173,Location 12,Location 48,2492,Location 48 - Location 12,48,12,48,47427.70074,STMD.2,LPS.d,STMD.2-LPS.d
174,Location 12,Location 41,2109,Location 41 - Location 12,41,12,29,33617.75595,SACU.3,LPS.d,SACU.3-LPS.d
175,Location 12,Location 20,1033,Location 20 - Location 12,20,12,45,58071.43099,MAL.12b,LPS.d,MAL.12b-LPS.d
176,Location 12,Location 47,2440,Location 47 - Location 12,47,12,48,47420.55854,STMD.1,LPS.d,STMD.1-LPS.d
177,Location 12,Location 40,2057,Location 40 - Location 12,40,12,29,33737.38592,SACU.2,LPS.d,SACU.2-LPS.d
178,Location 12,Location 16,825,Location 16 - Location 12,16,12,45,58071.43099,MAL.10b,LPS.d,MAL.10b-LPS.d
179,Location 12,Location 28,1449,Location 28 - Location 12,28,12,45,57787.3274,MAL.6,LPS.d,MAL.6-LPS.d
180,Location 12,Location 21,1085,Location 21 - Location 12,21,12,45,58222.72632,MAL.13,LPS.d,MAL.13-LPS.d
181,Location 12,Location 14,721,Location 14 - Location 12,14,12,45,57910.08745,MAL.1,LPS.d,MAL.1-LPS.d
