"","Name_corr","mean_Total_Length"
"605","MS08-RM88",18383.1242866667
"606","MS08-Rstr",101815.107283333
"607","MS08-SacMouth",91527.7424733333
"608","MS08-Sacramento_Release",29138.6845933333
"609","MS08-Steamboat",73182.0793133333
"610","MS08-Sutter",68103.7700533333
"611","MS08-UpperMiner",77257.3073833333
"612","MS08-Yolo_Release",140201.011266667
"613","MS09-Base_TD",90358.75215
"614","MS09-BaseSteamboat",84807.30516
"615","MS09-BC_joint",93427.37909
"616","MS09-Chipps",116308.003270833
"617","MS09-Georgiana",76530.59676
"618","MS09-I_80_1",123457.4027
"619","MS09-KLB",26187.76241
"620","MS09-Lisbon",112610.70215
"621","MS09-Miner",82249.00822
"622","MS09-MS01",24386.9916
"623","MS09-MS02",21268.1375375
"624","MS09-MS03",19814.4336233333
"625","MS09-MS04",19008.46102375
"626","MS09-MS05",17955.53369125
"627","MS09-MS06",14359.2766433333
"628","MS09-MS07",11190.73396
"629","MS09-MS08",3764.038589
"630","MS09-MS09",258.2784698
"631","MS09-MS10",5707.9277633
"632","MS09-MS11",127617.8699
"633","MS09-MS12",26276.5971983333
"634","MS09-MS13",48188.422796
"635","MS09-MS14",75435.477066
"636","MS09-MS15",86722.39646
"637","MS09-MS16",79293.14161
"638","MS09-RM61",20648.32906
"639","MS09-RM71",3663.25698
"640","MS09-RM80_5",11931.38141
"641","MS09-RM88",22147.162875
"642","MS09-Rstr",98051.0687
"643","MS09-SacMouth",87763.70388
"644","MS09-Sacramento_Release",32902.72318
"645","MS09-Steamboat",69418.04072
"646","MS09-Sutter",64339.73146
"647","MS09-UpperMiner",73493.26879
"648","MS09-Yolo_Release",136436.9727
"649","MS10-Base_TD",84650.824385
"650","MS10-BaseSteamboat",79099.377402
"651","MS10-BC_joint",87719.4513226667
"652","MS10-Chipps",110600.075508333
"653","MS10-Georgiana",70822.668994
"654","MS10-I_80_1",117749.47494
"655","MS10-KLB",31895.690173
"656","MS10-Lisbon",106902.7744
"657","MS10-Miner",76541.080454
"658","MS10-MS01",30094.919364
"659","MS10-MS02",26976.065301
"660","MS10-MS03",25522.3613846667
"661","MS10-MS04",24716.388786
"662","MS10-MS05",23663.461454
"663","MS10-MS06",20067.2044093333
"664","MS10-MS07",16898.661726
"665","MS10-MS08",9471.96635226667
"666","MS10-MS09",5707.9277633
"667","MS10-MS10",166.5384612856
"668","MS10-MS11",121909.94214
"669","MS10-MS12",20568.6694373333
"670","MS10-MS13",42480.495032
"671","MS10-MS14",69727.5493016
"672","MS10-MS15",81014.4687
"673","MS10-MS16",73585.213844
"674","MS10-RM61",14940.401294
"675","MS10-RM71",2044.6707832
"676","MS10-RM80_5",17639.309174
"677","MS10-RM88",27855.090639
"678","MS10-Rstr",92343.140937
"679","MS10-SacMouth",82055.776122
"680","MS10-Sacramento_Release",38610.650944
"681","MS10-Steamboat",63710.112962
"682","MS10-Sutter",58631.803702
"683","MS10-UpperMiner",67785.34103
"684","MS10-Yolo_Release",130729.04494
"685","MS11-Base_TD",43887.6052
"686","MS11-BaseSteamboat",50913.3095
"687","MS11-BC_joint",44368.720305
"688","MS11-Chipps",81443.24850375
"689","MS11-Georgiana",71341.07245
"690","MS11-I_80_1",4160.467202
"691","MS11-KLB",153805.63235
"692","MS11-Lisbon",15007.16775
"693","MS11-Miner",45368.86169
"694","MS11-MS01",152004.861475
"695","MS11-MS02",148886.00745
"696","MS11-MS03",147432.3035
"697","MS11-MS04",146626.330925
"698","MS11-MS05",145573.4036
"699","MS11-MS06",141977.146566667
"700","MS11-MS07",138808.60385
"701","MS11-MS08",131381.908533333
"702","MS11-MS09",127617.8699
"703","MS11-MS10",121909.94214
"704","MS11-MS11",0
"705","MS11-MS12",101341.2727
"706","MS11-MS13",79429.447112
"707","MS11-MS14",69200.182738
"708","MS11-MS15",83469.2462
"709","MS11-MS16",56427.47306
"710","MS11-RM61",106969.5408
"711","MS11-RM71",123954.61295
"712","MS11-RM80_5",139549.2513
