Name,OriginID,DestinationID,Total_Length_m
Abv_FremontWeir - Abv_Otter_Island,3,4,186964.896
Abv_FremontWeir - Abv_WoodsonBr,3,6,192788.0165
Abv_FremontWeir - DeerCk4,3,76,197471.2758
Abv_FremontWeir - GoldenGateE,3,86,200109.3262
Abv_FremontWeir - DeerCk3,3,75,200528.0818
Abv_FremontWeir - DeerCk2,3,74,200823.5995
Abv_FremontWeir - GoldenGateW,3,87,200935.4922
Abv_FremontWeir - DeerCk1,3,73,204507.1811
Abv_FremontWeir - DeerCk_RST,3,72,209379.4485
Abv_FremontWeir - Mill_Ck_Conf,3,105,209617.6758
Abv_FremontWeir - MillCk3,3,110,211348.6892
Abv_FremontWeir - MillCk2,3,109,212566.6219
Abv_FremontWeir - MillCk1.5,3,108,216212.9147
Abv_FremontWeir - MillCk1,3,107,217813.7817
Abv_FremontWeir - Hunters,3,92,218323.212
Abv_FremontWeir - MillCk_RST_Rel,3,106,218597.7011
Abv_FremontWeir - AntelopeConf,3,13,223061.0688
Abv_FremontWeir - Blw_Salt,3,42,224817.5258
Abv_FremontWeir - JV_Glide,3,96,226579.7342
Abv_FremontWeir - AntelopeCk2,3,12,226700.1147
Abv_FremontWeir - Abv_RBPP,3,5,229194.3506
Abv_FremontWeir - RedBluffDivDam,3,120,229194.3506
Abv_FremontWeir - AntelopeCk1,3,11,231425.6875
Abv_FremontWeir - Adobe,3,10,236404.4315
Abv_FremontWeir - Blw_Paynes_Ck,3,41,244315.285
Abv_FremontWeir - Battle_Conf,3,22,275453.4436
Abv_FremontWeir - BattleCk4,3,32,276373.1818
Abv_FremontWeir - BattleCk3,3,31,279451.2484
Abv_FremontWeir - BattleCk1_2014,3,27,281826.1378
Abv_FremontWeir - BattleCk2,3,28,282946.9594
Abv_FremontWeir - BattleCk_Bridge,3,23,283393.9367
Abv_FremontWeir - BattleCk2_2014,3,29,284326.122
Abv_FremontWeir - BattleCk1,3,26,284695.1837
Abv_FremontWeir - BattleCk250BlwFL,3,30,284944.5807
