,LOC,GEN.x,RKM.x,GenRKM.x,LAT,LON,Type,GEN.y,RKM.y,GenRKM.y,Route,Entrance_Exit,color,check,Route_v2
28,Blw_Fremont1,Blw_FremontWeir,210.36,210.36,38.77015,-121.6322,JSATS,Blw_FremontWeir,210.36,210.36,Yolo,enter,,#000075,Yolo Bypass
29,Blw_Fremont2,Blw_FremontWeir,210.359,210.36,38.77268,-121.63204,JSATS,Blw_FremontWeir,210.359,210.36,Yolo,enter,,#000075,Yolo Bypass
118,ToeDrainBase1,ToeDrainBase,120.167,120.167,38.29076,-121.6608,JSATS,ToeDrainBase,120.167,120.167,Yolo,exit,darkolivegreen,#000075,Yolo Bypass
119,ToeDrainBase2,ToeDrainBase,120.166,120.167,38.2911,-121.66113,JSATS,ToeDrainBase,120.166,120.167,Yolo,exit,darkolivegreen,#000075,Yolo Bypass
120,ToeDrainRST,ToeDrainRST,127.211,127.211,38.3525,-121.64337,JSATS,ToeDrainRST,127.211,127.211,Yolo,slough,darkolivegreen,#000075,Yolo Bypass
121,ToeDrainRST2,ToeDrainRST,127.21,127.211,38.3523,-121.64395,JSATS,ToeDrainRST,127.21,127.211,Yolo,slough,darkolivegreen,#000075,Yolo Bypass
125,YB_BCE2,YB_LibertyIsBase,111.731,111.73,38.2243,-121.67281,JSATS,YB_LibertyIsBase,111.731,111.73,Yolo,exit,darkolivegreen,#000075,Yolo Bypass
126,YB_BCW2,YB_LibertyIsBase,111.73,111.73,38.22411,-121.67524,JSATS,YB_LibertyIsBase,111.73,111.73,Yolo,exit,darkolivegreen,#000075,Yolo Bypass
141,AntiochS,Antioch,83.298,83.298,38.02076,-121.82018,JSATS,Antioch,83.298,83.298,Georgiana/DCC,exit,blue,#800000,Central Delta
73,GeorgMk1,GeorgeMok,100.489,100.489,38.12946,-121.58521,JSATS,GeorgeMok,100.489,100.489,Georgiana/DCC,slough,blue,#800000,Central Delta
74,GeorgMk2,GeorgeMok,100.488,100.489,38.12955,-121.58652,JSATS,GeorgeMok,100.488,100.489,Georgiana/DCC,slough,blue,#800000,Central Delta
191,Mok_NF_end,Mok_NF_end,119.453,119.453,38.14326,-121.56091,JSATS,Mok_NF_end,119.453,119.453,Georgiana/DCC,slough,blue,#800000,Central Delta
192,Mok_SF_Blw_Hwy12,Mok_SF_Blw_Hwy12,126.23,126.23,38.10911,-121.50105,JSATS,Mok_SF_Blw_Hwy12,126.23,126.23,Georgiana/DCC,slough,blue,#800000,Central Delta
229,Jersey1,SJ_JerseyPt,95.568,95.569,38.04856,-121.69155,JSATS,SJ_JerseyPt,95.568,95.569,Georgiana/DCC,slough,blue,#800000,Central Delta
230,Jersey2,SJ_JerseyPt,95.569,95.569,38.05002,-121.6907,JSATS,SJ_JerseyPt,95.569,95.569,Georgiana/DCC,slough,blue,#800000,Central Delta
