"","LOC","GEN","LAT","LON","Year","Type"
"738418","SacTrawl1 RR","SacTrawl1",38.5414,-121.5134,"2016","JSATS"
"738435","SacTrawl2 RL","SacTrawl2",38.53729,-121.51524,"2016","JSATS"
"738466","Freeport2","Freeport",38.46594,-121.50357,"2016","JSATS"
"738478","Freeport1","Freeport",38.46467,-121.50501,"2016","JSATS"
"738499","Hood_RR","Hood_RT",38.37464,-121.52444,"2016","JSATS"
"738505","RT_Hood_East","Hood_RT",38.3741,-121.523,"2016","JSATS"
"738546","Blw_Sutter_2","Blw_Sutter",38.32445,-121.57745,"2016","JSATS"
"738571","Blw_Sutter_1","Blw_Sutter",38.32402,-121.57584,"2016","JSATS"
"738582","BlSteam1","Blw_Steamboat",38.3,-121.56998,"2016","JSATS"
"738608","BlSteam2","Blw_Steamboat",38.30004,-121.56871,"2016","JSATS"
"738653","SR_Mouth2","SR_Mouth",38.17236,-121.65096,"2016","JSATS"
"738660","SR_Mouth1","SR_Mouth",38.17303,-121.65331,"2016","JSATS"
"738680","Hwy84Ferry1","Hwy84Ferry",38.1901,-121.65765,"2016","JSATS"
"738709","Hwy84Ferry2","Hwy84Ferry",38.19062,-121.66009,"2016","JSATS"
"738818","RioVistaBr3","RioVistaBr",38.158994,-121.684739,"2016","JSATS"
"739184","DeckrIs2","DeckerIsland",38.07916,-121.75954,"2016","JSATS"
"739191","Chipps1.1","ChippsE",38.049248,-121.909298,"2016","JSATS"
"739193","Chipps1.3","ChippsE",38.045992,-121.909692,"2016","JSATS"
"739198","Chipps1.2","ChippsE",38.047522,-121.909527,"2016","JSATS"
"739215","Chipps2.2","ChippsW",38.047743,-121.915287,"2016","JSATS"
"739217","Chipps2.3","ChippsW",38.046298,-121.915567,"2016","JSATS"
"739226","Chipps2.5","ChippsW",38.043436,-121.916078,"2016","JSATS"
"739243","Chipps2.4","ChippsW",38.044822,-121.915819,"2016","JSATS"
"739259","Chipps1.5","ChippsE",38.042682,-121.910271,"2016","JSATS"
"739261","Chipps1.4","ChippsE",38.044284,-121.909977,"2016","JSATS"
"739372","Benicia06","BeniciaW",38.03896,-122.12192,"2016","JSATS"
"739374","Benicia05","BeniciaW",38.03994,-122.12301,"2016","JSATS"
"741542","MillConf2","Mill_Ck_Conf",40.03397,-122.11948,"2016","JSATS"
"741662","ButteBr3","ButteBr",39.45722,-121.99437,"2016","JSATS"
"741770","RT_Verona1","Blw_FRConf",38.777041,-121.601474,"2016","JSATS"
"742074","Steam2","SteamboatSlough",38.29958,-121.58037,"2016","JSATS"
"742076","Steam1","SteamboatSlough",38.30026,-121.58067,"2016","JSATS"
"742113","SutterSteamJ2","SutterSteamJunc",38.25286,-121.60237,"2016","JSATS"
"742119","SutterSteamJ1","SutterSteamJunc",38.25163,-121.60279,"2016","JSATS"
"742137","BaseSutSteam2","BaseSutterSteam",38.18331,-121.65601,"2016","JSATS"
"742140","BaseSutSteam1","BaseSutterSteam",38.18312,-121.65181,"2016","JSATS"
"742268","DeckrIs3","DeckerIsland",38.07781,-121.75797,"2016","JSATS"
"742306","DeckrIs1","DeckerIsland",38.081273,-121.759482,"2016","JSATS"
"742355","DeckrIs4","DeckerIsland",38.07568,-121.75524,"2016","JSATS"
"742519","Chipps2.1","ChippsW",38.049103,-121.915108,"2016","JSATS"
"742740","Benicia02","BeniciaW",38.04376667,-122.12595,"2016","JSATS"
"742760","Benicia07","BeniciaW",38.03761667,-122.1210833,"2016","JSATS"
"748753","RT_Verona2","Blw_FRConf",38.7766,-121.603,"2016","JSATS"
"749118","Benicia01","BeniciaW",38.04494,-122.12695,"2016","JSATS"
"749347","Benicia04","BeniciaW",38.04123333,-122.1238167,"2016","JSATS"
"751019","ButteBr1","ButteBr",39.4569,-121.995,"2016","JSATS"
"751070","GeorgMk1","GeorgeMok",38.12946,-121.58521,"2016","JSATS"
"751079","GeorgMk2","GeorgeMok",38.12955,-121.58652,"2016","JSATS"
"751093","S_B&W2","MokBase",38.11196,-121.58401,"2016","JSATS"
"751101","AntiochBr20","AntiochBridge",38.028459,-121.75183,"2016","JSATS"
"759699","Battle2","Battle_Conf",40.353558,-122.176715,"2016","JSATS"
"775206","AntiochBr18","AntiochBridge",38.026202,-121.751644,"2016","JSATS"
"777525","AntiochBr13","AntiochBridge",38.023165,-121.751621,"2016","JSATS"
"780627","YB_BCW2","YB_LibertyIsBase",38.22411,-121.67524,"2016","JSATS"
"796783","FRConf1","Blw_FRConf",38.77409,-121.60043,"2016","JSATS"
"804065","Benicia03","BeniciaW",38.04243333,-122.1250167,"2016","JSATS"
"806729","Mok_SF_Blw_Hwy12","Mok_SF_Blw_Hwy12",38.10911,-121.50105,"2016","JSATS"
"812052","GCID_blw_RL","GCID_blw",39.79212,-122.03654,"2016","JSATS"
"812054","GCID_blw_RR","GCID_blw",39.79022,-122.03549,"2016","JSATS"
"817776","Benicia08","BeniciaW",38.03645,-122.1201,"2016","JSATS"
"850828","SutterSl2","SutterSlough",38.33178,-121.58308,"2016","JSATS"
"850857","MinorBlwSutter1","MinorBlwSutter",38.28386,-121.60406,"2016","JSATS"
"851469","ThreeMile1","ThreeMile",38.11595,-121.68571,"2016","JSATS"
"968181","MinorBlwSutter2","MinorBlwSutter",38.28379,-121.60348,"2016","JSATS"
"978642","AntiochBr19","AntiochBridge",38.027212,-121.751816,"2016","JSATS"
"1038022","MinerNorth1","MinerNorth",38.2873,-121.60845,"2016","JSATS"
"1038030","MinerNorth2","MinerNorth",38.28863,-121.60892,"2016","JSATS"
"1148900","ToeDrainBase1","ToeDrainBase",38.29076,-121.6608,"2016","JSATS"
"1148901","ToeDrainBase2","ToeDrainBase",38.2911,-121.66113,"2016","JSATS"
"1152340","AntiochBr15","AntiochBridge",38.024255,-121.751629,"2016","JSATS"
"1209683","MillCk2","MillCk2",40.046065,-122.094426,"2017","JSATS"
"1210820","BC3c","Colusa BC3",39.13037,-121.93552,"2017","JSATS"
"1212609","MillCk1.5","MillCk1.5",40.0526,-122.05846,"2017","JSATS"
"1227241","AR_RanchoCordova","AR_RanchoCordova",38.61468,-121.30276,"2016","JSATS"
"1227289","AR_Downstream_WattAve","AR_Downstream_WattAve",38.56572,-121.39069,"2016","JSATS"
"1227337","AR_Upstream_Hwy80","AR_Upstream_Hwy80",38.58339,-121.44109,"2016","JSATS"
"1227356","AR_Mouth1","AR_Mouth",38.59999,-121.50684,"2016","JSATS"
"1227357","AR_Mouth2","AR_Mouth",38.60054,-121.50615,"2016","JSATS"
"1227810","BlwGeorg_1.2","BlwGeorg_1",38.23825,-121.52699,"2016","JSATS"
"1227824","BlwGeorg_1.1","BlwGeorg_1",38.23956,-121.52522,"2016","JSATS"
"1228098","RioVistaBr2","RioVistaBr",38.158563,-121.683758,"2016","JSATS"
"1423912","AR_RanchoCordova","AR_RanchoCordova",38.61468,-121.30276,"2017","JSATS"
"1423931","AR_Downstream_WattAve","AR_Downstream_WattAve",38.56572,-121.39069,"2017","JSATS"
"1423960","AR_Mouth2","AR_Mouth",38.60054,-121.50615,"2017","JSATS"
"1423972","AR_Mouth1","AR_Mouth",38.59999,-121.50684,"2017","JSATS"
"1568029","RBDD1","RBDD1",40.153009,-122.198238,"2017","JSATS"
"1568032","RBDD2","RBDD2",40.153702,-122.19318,"2017","JSATS"
"1646382","Butte1","Butte1",39.09834,-121.75655,"2015","JSATS"
"1646508","Butte2","Butte2",39.00687,-121.72227,"2015","JSATS"
"1646557","Butte3","Butte3",38.92734,-121.62995,"2015","JSATS"
"1646598","Butte5","Butte5",38.85305,-121.65151,"2015","JSATS"
"1646615","Butte6","Butte6",38.78346,-121.63226,"2015","JSATS"
"1646812","RT_Hood","Above_Hood",38.36805,-121.52071,"2015","JSATS"
"1647638","BlwHood_2","Blw_Hood",38.34518,-121.55553,"2015","JSATS"
"1658604","Butte0.5","Butte0.5",39.102003,-121.75864,"2016","JSATS"
"1658609","Butte1","Butte1",39.09834,-121.75655,"2016","JSATS"
"1658717","Butte2","Butte2",39.00687,-121.72227,"2016","JSATS"
"1658739","Butte3","Butte3",38.92734,-121.62995,"2016","JSATS"
"1658785","Butte5","Butte5",38.85305,-121.65151,"2016","JSATS"
"1658893","Butte6","Butte6",38.78346,-121.63226,"2016","JSATS"
"1670786","Butte4","Butte4",38.915024,-121.625419,"2016","JSATS"
"1768913","CoxRiffle_RL","CoxRiffle",39.33378,-121.63266,"2013","JSATS"
"1768932","CoxRiffle_RR","CoxRiffle",39.33367,-121.63306,"2013","JSATS"
"1769458","SunsetPumps_RL","SunsetPumps",39.25139,-121.63476,"2013","JSATS"
"1769469","SunsetPumps_2","SunsetPumps",39.25153,-121.63518,"2013","JSATS"
"1775869","ShanghaiBend_RL","ShanghaiBend",39.0907583,-121.5958527,"2013","JSATS"
"1775886","ShanghaiBend_RR","ShanghaiBend",39.091138,-121.5955472,"2013","JSATS"
"1777330","StarBend_RL","StarBend",39.009883,-121.593821,"2013","JSATS"
"1777362","BC_Beach_RR","BC_Beach",38.88194,-121.61388,"2013","JSATS"
"1777373","FRConf2","Blw_FRConf",38.77815,-121.60226,"2013","JSATS"
"1777396","FRConf3","Blw_FRConf",38.77573,-121.60178,"2013","JSATS"
"1777547","Hood_2","Hood",38.36219,-121.52247,"2013","JSATS"
"1777553","Blw_Sutter_1","Blw_Sutter",38.32402,-121.57584,"2013","JSATS"
"1777631","Hwy84Ferry1","Hwy84Ferry",38.1901,-121.65765,"2013","JSATS"
"1777636","Hwy84Ferry2","Hwy84Ferry",38.19062,-121.66009,"2013","JSATS"
"1777797","Benicia05","BeniciaW",38.03994,-122.12301,"2013","JSATS"
"1947773","BC_Beach_RL","BC_Beach",38.88215,-121.6135583,"2013","JSATS"
"1947821","Hood_1","Hood",38.3617,-121.52033,"2013","JSATS"
"1948002","Steam1","SteamboatSlough",38.30026,-121.58067,"2013","JSATS"
"1948073","SutterSteamJ1","SutterSteamJunc",38.25163,-121.60279,"2013","JSATS"
"1948079","SutterSteamJ2","SutterSteamJunc",38.25286,-121.60237,"2013","JSATS"
"1948117","BaseSutSteam2","BaseSutterSteam",38.18331,-121.65601,"2013","JSATS"
"2001586","BC_Beach_Rrup","BC_Beach",38.88226,-121.61401,"2013","JSATS"
"2001931","Blw_Sutter_2","Blw_Sutter",38.32445,-121.57745,"2013","JSATS"
"2003023","GeorgSl_1.1","GeorgSl_1",38.23417,-121.5196,"2013","JSATS"
"2003030","GeorgSl_1.2","GeorgSl_1",38.23388,-121.519,"2013","JSATS"
"2003044","GeorgMk1","GeorgeMok",38.12946,-121.58521,"2013","JSATS"
"2003053","GeorgMk2","GeorgeMok",38.12955,-121.58652,"2013","JSATS"
"2003712","S_B&W2","MokBase",38.11196,-121.58401,"2013","JSATS"
"2003743","S_B&W1","MokBase",38.11047,-121.58224,"2013","JSATS"
"2003756","AntiochBr18","AntiochBridge",38.026202,-121.751644,"2013","JSATS"
"2003760","AntiochBr19","AntiochBridge",38.027212,-121.751816,"2013","JSATS"
"2003764","AntiochBr15","AntiochBridge",38.024255,-121.751629,"2013","JSATS"
"2003770","AntiochBr17","AntiochBridge",38.025371,-121.751626,"2013","JSATS"
"2006246","Jersey2","SJ_JerseyPt",38.05002,-121.6907,"2013","JSATS"
"2006389","Jersey1","SJ_JerseyPt",38.04856,-121.69155,"2013","JSATS"
"2006455","AntiochBr11","AntiochBridge",38.02205,-121.751612,"2013","JSATS"
"2006465","AntiochBr13","AntiochBridge",38.023165,-121.751621,"2013","JSATS"
"2006468","AntiochBr09","AntiochBridge",38.02095,-121.751611,"2013","JSATS"
"2007849","Steam2","SteamboatSlough",38.29958,-121.58037,"2013","JSATS"
"2007989","BaseSutSteam1","BaseSutterSteam",38.18312,-121.65181,"2013","JSATS"
"2011757","SutterSl","SutterSlough",38.33225,-121.58294,"2013","JSATS"
"2015454","ThreeMile2","ThreeMile",38.113547,-121.687289,"2013","JSATS"
"2016135","Jersey3","SJ_JerseyPt",38.05212,-121.69429,"2013","JSATS"
"2018849","Benicia08","BeniciaW",38.03645,-122.1201,"2013","JSATS"
"2023042","Benicia01","BeniciaW",38.04494,-122.12695,"2013","JSATS"
"2030290","MinerNorth1","MinerNorth",38.2873,-121.60845,"2013","JSATS"
"3086663","BattleCk1","BattleCk1",40.39827,-122.14959,"2016","JSATS"
"3086690","BattleCk2","BattleCk2",40.3954,-122.16553,"2016","JSATS"
"3086702","BattleCk3","BattleCk3",40.38457,-122.17897,"2016","JSATS"
"3087288","ButteBr2","ButteBr",39.4572,-121.995,"2016","JSATS"
"3141541","AntiochBr17","AntiochBridge",38.025371,-121.751626,"2016","JSATS"
"3141549","AntiochBr09","AntiochBridge",38.02095,-121.751611,"2016","JSATS"
"3644287","BattleCk4RR","BattleCk4",40.36007,-122.1735,"2017","JSATS"
"3644713","BattleCk4RL","BattleCk4",40.3609,-122.1761,"2017","JSATS"
"3645207","I80-50_Br2","I80-50_Br",38.57117,-121.515708,"2017","JSATS"
"3648632","BattleCk1","BattleCk1",40.39827,-122.14959,"2017","JSATS"
"3920881","AntiochBr20","AntiochBridge",38.028459,-121.75183,"2013","JSATS"
"3936827","Mok_NF_end","Mok_NF_end",38.14326,-121.56091,"2013","JSATS"
"4072835","BlwPaynes1","Blw_Paynes_Ck",40.25534,-122.17332,"2013","JSATS"
"4072844","BlwPaynes2","Blw_Paynes_Ck",40.2546,-122.17088,"2013","JSATS"
"4072907","MillConf2","Mill_Ck_Conf",40.03397,-122.11948,"2013","JSATS"
"4072908","MillConf1","Mill_Ck_Conf",40.0327,-122.11987,"2013","JSATS"
"4073061","IrvFnch3","Blw_IrvineFinch",39.73233,-121.97295,"2013","JSATS"
"4073150","AbvGrimes_2","Abv Grimes",39.0962,-121.8962833,"2013","JSATS"
"4073192","BlwTisdale1","BlwTisdale",38.98941,-121.80463,"2013","JSATS"
"4084493","BlwChinaBend1","BlwChinaBend",38.88396,-121.81711,"2013","JSATS"
"4127177","BlwChinaBend2","BlwChinaBend",38.88246,-121.81771,"2013","JSATS"
"4152429","Colusa2","AbvColusaBr",39.21975,-122.00945,"2013","JSATS"
"4483046","BlwHood_1","Blw_Hood",38.34365,-121.5552,"2015","JSATS"
"4483396","YB_BCE2","YB_LibertyIsBase",38.2243,-121.67281,"2015","JSATS"
"4484150","ThreeMile1","ThreeMile",38.11595,-121.68571,"2015","JSATS"
"1","AntiochN","SJ_Antioch",38.02425,-121.8172667,"2010","Vemco"
"2100","AntiochN","SJ_Antioch",38.02425,-121.8172667,"2007","Vemco"
"3","AntiochS","SJ_Antioch",38.02076667,-121.8203833,"2009","Vemco"
"4","AntiochS","SJ_Antioch",38.02076667,-121.8203833,"2007","Vemco"
"5","AntiochS","SJ_Antioch",38.02076667,-121.8203833,"2008","Vemco"
"626","AntiochS","SJ_Antioch",38.02076667,-121.8203833,"2011","Vemco"
"7","AntiochS","SJ_Antioch",38.02076667,-121.8203833,"2010","Vemco"
"810","BattleCk10","BattleCk10",40.37568852,-122.1691084,"2007","Vemco"
"9","BenBr01","Benicia Bridge",38.04376667,-122.12595,"2011","Vemco"
"10","BenBr01","Benicia Bridge",38.04376667,-122.12595,"2009","Vemco"
"1110","BenBr01","Benicia Bridge",38.04376667,-122.12595,"2008","Vemco"
"12","BenBr01","Benicia Bridge",38.04376667,-122.12595,"2010","Vemco"
"13","BenBr01","Benicia Bridge",38.04376667,-122.12595,"2007","Vemco"
"14","BenBr02","Benicia Bridge",38.04243333,-122.1250167,"2009","Vemco"
"15","BenBr02","Benicia Bridge",38.04243333,-122.1250167,"2010","Vemco"
"16","BenBr02","Benicia Bridge",38.04243333,-122.1250167,"2011","Vemco"
"17","BenBr02","Benicia Bridge",38.04243333,-122.1250167,"2008","Vemco"
"1810","BenBr02","Benicia Bridge",38.04243333,-122.1250167,"2007","Vemco"
"19","BenBr03","Benicia Bridge",38.04123333,-122.1238167,"2010","Vemco"
"20","BenBr03","Benicia Bridge",38.04123333,-122.1238167,"2011","Vemco"
"21","BenBr03","Benicia Bridge",38.04123333,-122.1238167,"2009","Vemco"
"22","BenBr03","Benicia Bridge",38.04123333,-122.1238167,"2008","Vemco"
"2310","BenBr03","Benicia Bridge",38.04123333,-122.1238167,"2007","Vemco"
"24","BenBr04","Benicia Bridge",38.03896,-122.12192,"2008","Vemco"
"25","BenBr04","Benicia Bridge",38.03896,-122.12192,"2010","Vemco"
"26","BenBr04","Benicia Bridge",38.03896,-122.12192,"2011","Vemco"
"27","BenBr04","Benicia Bridge",38.03896,-122.12192,"2009","Vemco"
"28","BenBr04","Benicia Bridge",38.03896,-122.12192,"2007","Vemco"
"29","BenBr05","Benicia Bridge",38.03761667,-122.1210833,"2011","Vemco"
"30","BenBr05","Benicia Bridge",38.03761667,-122.1210833,"2008","Vemco"
"31","BenBr05","Benicia Bridge",38.03761667,-122.1210833,"2010","Vemco"
"32","BenBr05","Benicia Bridge",38.03761667,-122.1210833,"2007","Vemco"
"33","BenBr05","Benicia Bridge",38.03761667,-122.1210833,"2009","Vemco"
"34","BenBr06","Benicia Bridge",38.03645,-122.1201,"2011","Vemco"
"3510","BenBr06","Benicia Bridge",38.03645,-122.1201,"2010","Vemco"
"36","BenBr06","Benicia Bridge",38.03645,-122.1201,"2008","Vemco"
"37","BenBr06","Benicia Bridge",38.03645,-122.1201,"2009","Vemco"
"38","BenBrCenter","Benicia Bridge",38.03994,-122.12301,"2010","Vemco"
"39","BenBrCenter","Benicia Bridge",38.03994,-122.12301,"2011","Vemco"
"40","BenBrCenter","Benicia Bridge",38.03994,-122.12301,"2009","Vemco"
"41","BenBrCenter","Benicia Bridge",38.03994,-122.12301,"2008","Vemco"
"42","CarBr01","Carquinez Bridge",38.06383333,-122.2269667,"2009","Vemco"
"43","CarBr01","Carquinez Bridge",38.06383333,-122.2269667,"2008","Vemco"
"44","CarBr01","Carquinez Bridge",38.06383333,-122.2269667,"2010","Vemco"
"45","CarBr01","Carquinez Bridge",38.06383333,-122.2269667,"2011","Vemco"
"46","CarBr01","Carquinez Bridge",38.06383333,-122.2269667,"2007","Vemco"
"47","CarBr02","Carquinez Bridge",38.06233333,-122.22525,"2009","Vemco"
"48","CarBr02","Carquinez Bridge",38.06233333,-122.22525,"2010","Vemco"
"49","CarBr02","Carquinez Bridge",38.06233333,-122.22525,"2011","Vemco"
"50","CarBr02","Carquinez Bridge",38.06233333,-122.22525,"2008","Vemco"
"5110","CarBr02","Carquinez Bridge",38.06233333,-122.22525,"2007","Vemco"
"52","CarBr02.5","Carquinez Bridge",38.06068,-122.22513,"2008","Vemco"
"53","CarBr03","Carquinez Bridge",38.06058333,-122.2249667,"2009","Vemco"
"54","CarBr03","Carquinez Bridge",38.06058333,-122.2249667,"2008","Vemco"
"55","CarBr03","Carquinez Bridge",38.06058333,-122.2249667,"2010","Vemco"
"56","CarBr03","Carquinez Bridge",38.06058333,-122.2249667,"2007","Vemco"
"57","CarBr03","Carquinez Bridge",38.06058333,-122.2249667,"2011","Vemco"
"58","CarBr04","Carquinez Bridge",38.05866667,-122.2251,"2008","Vemco"
"59","CarBr04","Carquinez Bridge",38.05866667,-122.2251,"2009","Vemco"
"60","CarBr04","Carquinez Bridge",38.05866667,-122.2251,"2010","Vemco"
"61","CarBr04","Carquinez Bridge",38.05866667,-122.2251,"2011","Vemco"
"62","CarBr04","Carquinez Bridge",38.05866667,-122.2251,"2007","Vemco"
"63","CarBr05","Carquinez Bridge",38.05795,-122.22455,"2010","Vemco"
"64","CarBr05","Carquinez Bridge",38.05795,-122.22455,"2008","Vemco"
"65","CarBr05","Carquinez Bridge",38.05795,-122.22455,"2011","Vemco"
"661","CarBr05","Carquinez Bridge",38.05795,-122.22455,"2009","Vemco"
"67","CarBr05","Carquinez Bridge",38.05795,-122.22455,"2007","Vemco"
"68","Carq_East","Carquinez Bridge",38.059193,-122.225182,"2011","Vemco"
"69","Carq_West","Carquinez Bridge",38.062713,-122.225418,"2011","Vemco"
"70","Chipp01","Chipps Island",38.0465,-121.93805,"2007","Vemco"
"711","Chipp04","Chipps Island",38.04273,-121.89783,"2007","Vemco"
"72","Chipp08","Chipps Island",38.04636667,-121.92035,"2007","Vemco"
"731","Chipp12","Chipps Island",38.04628,-121.92974,"2008","Vemco"
"74","Chipp12","Chipps Island",38.04628,-121.92974,"2010","Vemco"
"75","Chipp12","Chipps Island",38.04628,-121.92974,"2007","Vemco"
"76","Chipp12","Chipps Island",38.04628,-121.92974,"2009","Vemco"
"77","Chipp13","Chipps Island",38.04832,-121.93108,"2008","Vemco"
"78","Chipp13","Chipps Island",38.04832,-121.93108,"2010","Vemco"
"79","Chipp13","Chipps Island",38.04832,-121.93108,"2009","Vemco"
"80","Chipp13","Chipps Island",38.04832,-121.93108,"2007","Vemco"
"81","Chipp14","Chipps Island",38.04977,-121.93125,"2008","Vemco"
"82","Chipp14","Chipps Island",38.04977,-121.93125,"2010","Vemco"
"83","Chipp14","Chipps Island",38.04977,-121.93125,"2007","Vemco"
"84","Chipp14","Chipps Island",38.04977,-121.93125,"2009","Vemco"
"851","Chipp15","Chipps Island",38.05111,-121.92694,"2008","Vemco"
"86","Chipp15","Chipps Island",38.05111,-121.92694,"2011","Vemco"
"87","Chipp15","Chipps Island",38.05111,-121.92694,"2009","Vemco"
"88","Chipp15","Chipps Island",38.05111,-121.92694,"2010","Vemco"
"89","Chipp16","Chipps Island",38.04398,-121.93089,"2008","Vemco"
"90","Chipp16","Chipps Island",38.04398,-121.93089,"2011","Vemco"
"91","Chipp16","Chipps Island",38.04398,-121.93089,"2009","Vemco"
"921","Chipp16","Chipps Island",38.04398,-121.93089,"2010","Vemco"
"93","Chipp17","Chipps Island",38.05007,-121.8982,"2011","Vemco"
"94","Chipp17","Chipps Island",38.05007,-121.8982,"2009","Vemco"
"95","Chipp17","Chipps Island",38.05007,-121.8982,"2010","Vemco"
"96","Chipp17","Chipps Island",38.05007,-121.8982,"2008","Vemco"
"97","Chipp18","Chipps Island",38.04084,-121.9086,"2010","Vemco"
"98","Chipp18","Chipps Island",38.04084,-121.9086,"2011","Vemco"
"991","Chipp18","Chipps Island",38.04084,-121.9086,"2009","Vemco"
"100","Chipp18","Chipps Island",38.04084,-121.9086,"2008","Vemco"
"101","Chipp19","Chipps Island",38.04819,-121.93054,"2010","Vemco"
"1021","Chipp19","Chipps Island",38.04819,-121.93054,"2009","Vemco"
"103","ChippMontezuma","ChippMontezuma",38.07188,-121.87516,"2008","Vemco"
"104","ChippMontezuma","ChippMontezuma",38.07188,-121.87516,"2009","Vemco"
"105","CurtisLanding1","SJ_CurtisLanding",38.032633,-121.736683,"2007","Vemco"
"106","CurtisLanding1","SJ_CurtisLanding",38.032633,-121.736683,"2008","Vemco"
"107","CurtisLanding2","SJ_CurtisLanding",38.032633,-121.736683,"2007","Vemco"
"1081","CurtisLanding2","SJ_CurtisLanding",38.032633,-121.736683,"2008","Vemco"
"109","Decker_IsN","Decker_IsN",38.10252,-121.7169,"2011","Vemco"
"110","Decker_IsN","Decker_IsN",38.10252,-121.7169,"2010","Vemco"
"1111","Decker_IsN","Decker_IsN",38.10252,-121.7169,"2009","Vemco"
"112","Decker_IsSE","Decker_IsS",38.076983,-121.7534,"2007","Vemco"
"113","Decker_IsSE","Decker_IsS",38.076983,-121.7534,"2008","Vemco"
"1141","Decker_IsSW","Decker_IsS",38.0831,-121.7594667,"2010","Vemco"
"115","Decker_IsSW","Decker_IsS",38.0831,-121.7594667,"2011","Vemco"
"116","Decker_IsSW","Decker_IsS",38.0831,-121.7594667,"2009","Vemco"
"117","Decker_IsSW","Decker_IsS",38.0831,-121.7594667,"2007","Vemco"
"118","Decker_IsSW","Decker_IsS",38.0831,-121.7594667,"2008","Vemco"
"1191","DeltaBase1","Antioch_Br",38.019722,-121.750277,"2007","Vemco"
"120","DeltaBase1","Antioch_Br",38.019722,-121.750277,"2008","Vemco"
"121","DeltaBase2","Antioch_Br",38.019722,-121.750277,"2007","Vemco"
"122","DeltaBase2","Antioch_Br",38.019722,-121.750277,"2008","Vemco"
"123","FR_Mouth","FR_Mouth",38.79367,-121.630194,"2007","Vemco"
"124","FR_Mouth","FR_Mouth",38.79367,-121.630194,"2008","Vemco"
"125","FR_Verona_Down_RR","FR_Verona",38.795563,-121.629937,"2010","Vemco"
"126","FR_Verona_Down_RR","FR_Verona",38.795563,-121.629937,"2009","Vemco"
"127","FR_Verona_Down_RR","FR_Verona",38.795563,-121.629937,"2011","Vemco"
"128","FR_Verona_Up_RL","FR_Verona",38.80155,-121.63466,"2010","Vemco"
"129","FR_Verona_Up_RL","FR_Verona",38.80155,-121.63466,"2009","Vemco"
"1301","FranksTractE","FranksTractE",38.07126667,-121.5783667,"2009","Vemco"
"131","FranksTractE","FranksTractE",38.07126667,-121.5783667,"2008","Vemco"
"132","FranksTractE","FranksTractE",38.07126667,-121.5783667,"2010","Vemco"
"133","FranksTractE","FranksTractE",38.07126667,-121.5783667,"2007","Vemco"
"134","FranksTractW","FranksTractW",38.05546667,-121.6671167,"2008","Vemco"
"135","FranksTractW","FranksTractW",38.05546667,-121.6671167,"2009","Vemco"
"136","FranksTractW","FranksTractW",38.05546667,-121.6671167,"2007","Vemco"
"137","Georg_SloughN","Georg_SloughN",38.23725,-121.5176167,"2007","Vemco"
"138","Georg_SloughN","Georg_SloughN",38.23725,-121.5176167,"2008","Vemco"
"139","Georg_SloughN","Georg_SloughN",38.23725,-121.5176167,"2011","Vemco"
"140","Georg_SloughN","Georg_SloughN",38.23725,-121.5176167,"2010","Vemco"
"141","Georg_SloughN","Georg_SloughN",38.23725,-121.5176167,"2009","Vemco"
"142","Georg_SloughN1","Georgiana_SloughN1",38.23006,-121.52337,"2009","Vemco"
"143","Georg_SloughN1","Georgiana_SloughN1",38.23006,-121.52337,"2008","Vemco"
"144","Georg_SloughN2","Georg_SloughN",38.235875,-121.517832,"2010","Vemco"
"145","Georg_SloughN2","Georg_SloughN",38.235875,-121.517832,"2011","Vemco"
"146","Georg_SloughS","Georg_SloughS",38.13458806,-121.5922836,"2009","Vemco"
"147","Georg_SloughS","Georg_SloughS",38.13458806,-121.5922836,"2008","Vemco"
"148","Georg_SloughS","Georg_SloughS",38.13458806,-121.5922836,"2011","Vemco"
"149","Georg_SloughS","Georg_SloughS",38.13458806,-121.5922836,"2010","Vemco"
"150","Georg_SloughS","Georg_SloughS",38.13458806,-121.5922836,"2007","Vemco"
"151","HorseshoeA","HorseshoeBend",38.095883,-121.709533,"2008","Vemco"
"152","HorseshoeA","HorseshoeBend",38.095883,-121.709533,"2007","Vemco"
"1531","HorseshoeB1","HorseshoeBend",38.092967,-121.706967,"2008","Vemco"
"154","HorseshoeB1","HorseshoeBend",38.092967,-121.706967,"2007","Vemco"
"155","HorseshoeB2","HorseshoeBend",38.092967,-121.706967,"2008","Vemco"
"156","HorseshoeB2","HorseshoeBend",38.092967,-121.706967,"2007","Vemco"
"157","HorseshoeC2","HorseshoeBend",38.083767,-121.711517,"2008","Vemco"
"158","HorseshoeC2","HorseshoeBend",38.083767,-121.711517,"2007","Vemco"
"159","HorseshoeD","HorseshoeBend",38.081694,-121.721028,"2008","Vemco"
"160","HorseshoeD","HorseshoeBend",38.081694,-121.721028,"2007","Vemco"
"161","HorseshoeE1","HorseshoeBend",38.0809,-121.730133,"2008","Vemco"
"162","HorseshoeE1","HorseshoeBend",38.0809,-121.730133,"2007","Vemco"
"163","HorseshoeE2","HorseshoeBend",38.0809,-121.730133,"2007","Vemco"
"164","HorseshoeE2","HorseshoeBend",38.0809,-121.730133,"2008","Vemco"
"165","HorseshoeMouth1","HorseshoeBend",38.084383,-121.73895,"2008","Vemco"
"166","HorseshoeMouth1","HorseshoeBend",38.084383,-121.73895,"2007","Vemco"
